JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457971.32469,10.943,0.008,,B,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.917|VERR=0.007|CREFMAG=12.579|CREFERR=0.050|KREFMAG=12.953|KREFERR=0.048|VX=1.5106|CX=1.5083|KX=1.5123|TB_BV=0.0210|TB_BVERR=0.0340|TAVER=2.49,1,1.511,Z,11.551,11.966,,PDS 110,AAVSO,STD,103,,,
2457971.32494,10.945,0.009,,B,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.916|VERR=0.009|CREFMAG=12.579|CREFERR=0.050|KREFMAG=12.953|KREFERR=0.048|VX=1.5086|CX=1.5063|KX=1.5103|TB_BV=0.0210|TB_BVERR=0.0340|TAVER=2.49,1,1.509,Z,11.548,11.950,,PDS 110,AAVSO,STD,104,,,
2457971.32545,10.446,0.005,,V,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.215|VERR=0.004|CREFMAG=11.995|CREFERR=0.014|KREFMAG=12.299|KREFERR=0.015|VX=1.5046|CX=1.5024|KX=1.5063|TV_BV=-0.0170|TV_BVERR=0.0330|TAVER=2.49,1,1.505,Z,10.765,11.094,,PDS 110,AAVSO,STD,103,,,
2457971.32569,10.441,0.006,,V,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.228|VERR=0.005|CREFMAG=11.995|CREFERR=0.014|KREFMAG=12.299|KREFERR=0.015|VX=1.5027|CX=1.5005|KX=1.5044|TV_BV=-0.0170|TV_BVERR=0.0330|TAVER=2.49,1,1.503,Z,10.783,11.122,,PDS 110,AAVSO,STD,104,,,
2457971.32627,9.821,0.005,,I,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.679|VERR=0.005|CREFMAG=11.291|CREFERR=0.037|KREFMAG=11.566|KREFERR=0.040|VX=1.4983|CX=1.4960|KX=1.4999|TI_VI=-0.0080|TI_VIERR=0.0220|TAVER=2.49,1,1.499,Z,11.150,11.430,,PDS 110,AAVSO,STD,103,,,
2457971.32653,9.809,0.007,,I,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.672|VERR=0.007|CREFMAG=11.291|CREFERR=0.037|KREFMAG=11.566|KREFERR=0.040|VX=1.4963|CX=1.4941|KX=1.4979|TI_VI=-0.0080|TI_VIERR=0.0220|TAVER=2.49,1,1.497,Z,11.155,11.425,,PDS 110,AAVSO,STD,104,,,
2457971.32710,10.114,0.004,,R,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.020|VERR=0.004|CREFMAG=11.632|CREFERR=0.028|KREFMAG=11.921|KREFERR=0.030|VX=1.4919|CX=1.4897|KX=1.4935|TR_VI=-0.0150|TR_VIERR=0.0140|TAVER=2.49,1,1.492,Z,10.539,10.825,,PDS 110,AAVSO,STD,103,,,
2457971.32735,10.116,0.005,,R,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=8.989|VERR=0.005|CREFMAG=11.632|CREFERR=0.028|KREFMAG=11.921|KREFERR=0.030|VX=1.4900|CX=1.4878|KX=1.4916|TR_VI=-0.0150|TR_VIERR=0.0140|TAVER=2.49,1,1.491,Z,10.506,10.789,,PDS 110,AAVSO,STD,104,,,
2457971.32781,10.954,0.007,,B,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.929|VERR=0.007|CREFMAG=12.579|CREFERR=0.050|KREFMAG=12.953|KREFERR=0.048|VX=1.4866|CX=1.4844|KX=1.4882|TB_BV=0.0210|TB_BVERR=0.0340|TAVER=2.49,1,1.487,Z,11.552,11.974,,PDS 110,AAVSO,STD,105,,,
2457971.32806,10.961,0.009,,B,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.911|VERR=0.009|CREFMAG=12.579|CREFERR=0.050|KREFMAG=12.953|KREFERR=0.048|VX=1.4847|CX=1.4825|KX=1.4863|TB_BV=0.0210|TB_BVERR=0.0340|TAVER=2.49,1,1.485,Z,11.527,11.953,,PDS 110,AAVSO,STD,106,,,
